pair_id,subset,program,group,status,acc_percent,hit_at_1,hit_at_3,mrr,ranking_queries,ranking_missing,t_align,t_smt,t_total,pruning_rate_percent,total_candidate_pairs,aligned_pairs,correct_pairs,smt_calls,command,stdout_path,stderr_path,trace_paths,ground_truth,prediction,confusion,error
A/s1221_O1_vs_O1,A,s1221_O1_vs_O1,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,256,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1221_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1221_O1_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
A/s1221_O1_vs_O1,A,s1221_O1_vs_O1,fmcad_align,dry_run,,12.5,25.0,0.2698893120768121,16,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s1221_O1_vs_O1/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s1221_O1_vs_O1/fmcad/ranking.json,,,,True,,,
A/s1251_O1_vs_O1,A,s1251_O1_vs_O1,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1251_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1251_O1_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s1251_O1_vs_O1/naive_report.txt,,,,True,,,
A/s1251_O1_vs_O1,A,s1251_O1_vs_O1,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,256,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1251_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1251_O1_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
A/s1251_O1_vs_O1,A,s1251_O1_vs_O1,fmcad_align,dry_run,,100.0,100.0,1.0,16,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s1251_O1_vs_O1/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s1251_O1_vs_O1/fmcad/ranking.json,,,,True,,,
A/s1351_O1_vs_O1,A,s1351_O1_vs_O1,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1351_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1351_O1_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s1351_O1_vs_O1/naive_report.txt,,,,True,,,
A/s1351_O1_vs_O1,A,s1351_O1_vs_O1,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,256,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1351_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1351_O1_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
A/s1351_O1_vs_O1,A,s1351_O1_vs_O1,fmcad_align,dry_run,,100.0,100.0,1.0,16,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s1351_O1_vs_O1/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s1351_O1_vs_O1/fmcad/ranking.json,,,,True,,,
A/s173_O1_vs_O1,A,s173_O1_vs_O1,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s173_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s173_O1_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s173_O1_vs_O1/naive_report.txt,,,,True,,,
A/s173_O1_vs_O1,A,s173_O1_vs_O1,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,4,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s173_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s173_O1_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
A/s173_O1_vs_O1,A,s173_O1_vs_O1,fmcad_align,dry_run,,100.0,100.0,1.0,2,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s173_O1_vs_O1/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s173_O1_vs_O1/fmcad/ranking.json,,,,True,,,
A/s2244_O1_vs_O1,A,s2244_O1_vs_O1,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s2244_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s2244_O1_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s2244_O1_vs_O1/naive_report.txt,,,,True,,,
A/s2244_O1_vs_O1,A,s2244_O1_vs_O1,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,256,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s2244_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s2244_O1_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
A/s2244_O1_vs_O1,A,s2244_O1_vs_O1,fmcad_align,dry_run,,12.5,25.0,0.2698893120768121,16,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s2244_O1_vs_O1/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s2244_O1_vs_O1/fmcad/ranking.json,,,,True,,,
A/vpv_O1_vs_O1,A,vpv_O1_vs_O1,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vpv_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vpv_O1_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vpv_O1_vs_O1/naive_report.txt,,,,True,,,
A/vpv_O1_vs_O1,A,vpv_O1_vs_O1,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,256,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vpv_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vpv_O1_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
A/vpv_O1_vs_O1,A,vpv_O1_vs_O1,fmcad_align,dry_run,,12.5,25.0,0.2698893120768121,16,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vpv_O1_vs_O1/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vpv_O1_vs_O1/fmcad/ranking.json,,,,True,,,
A/vpvpv_O1_vs_O1,A,vpvpv_O1_vs_O1,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vpvpv_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vpvpv_O1_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vpvpv_O1_vs_O1/naive_report.txt,,,,True,,,
A/vpvpv_O1_vs_O1,A,vpvpv_O1_vs_O1,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,256,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vpvpv_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vpvpv_O1_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
A/vpvpv_O1_vs_O1,A,vpvpv_O1_vs_O1,fmcad_align,dry_run,,100.0,100.0,1.0,16,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vpvpv_O1_vs_O1/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vpvpv_O1_vs_O1/fmcad/ranking.json,,,,True,,,
A/vpvtv_O1_vs_O1,A,vpvtv_O1_vs_O1,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vpvtv_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vpvtv_O1_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vpvtv_O1_vs_O1/naive_report.txt,,,,True,,,
A/vpvtv_O1_vs_O1,A,vpvtv_O1_vs_O1,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,256,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vpvtv_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vpvtv_O1_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
A/vpvtv_O1_vs_O1,A,vpvtv_O1_vs_O1,fmcad_align,dry_run,,100.0,100.0,1.0,16,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vpvtv_O1_vs_O1/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vpvtv_O1_vs_O1/fmcad/ranking.json,,,,True,,,
A/vtv_O1_vs_O1,A,vtv_O1_vs_O1,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vtv_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vtv_O1_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vtv_O1_vs_O1/naive_report.txt,,,,True,,,
A/vtv_O1_vs_O1,A,vtv_O1_vs_O1,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,256,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vtv_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vtv_O1_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
A/vtv_O1_vs_O1,A,vtv_O1_vs_O1,fmcad_align,dry_run,,12.5,25.0,0.2698893120768121,16,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vtv_O1_vs_O1/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vtv_O1_vs_O1/fmcad/ranking.json,,,,True,,,
A/vtvtv_O1_vs_O1,A,vtvtv_O1_vs_O1,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vtvtv_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vtvtv_O1_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vtvtv_O1_vs_O1/naive_report.txt,,,,True,,,
A/vtvtv_O1_vs_O1,A,vtvtv_O1_vs_O1,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,256,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vtvtv_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/vtvtv_O1_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
A/vtvtv_O1_vs_O1,A,vtvtv_O1_vs_O1,fmcad_align,dry_run,,100.0,100.0,1.0,16,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vtvtv_O1_vs_O1/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/vtvtv_O1_vs_O1/fmcad/ranking.json,,,,True,,,
B/s000_O1_vs_O3,B,s000_O1_vs_O3,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s000_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s000_O3_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/B/s000_O1_vs_O3/naive_report.txt,,,,True,,,
B/s000_O1_vs_O3,B,s000_O1_vs_O3,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,256,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s000_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s000_O3_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
B/s000_O1_vs_O3,B,s000_O1_vs_O3,fmcad_align,dry_run,,6.25,18.75,0.22331193112443112,16,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/B/s000_O1_vs_O3/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/B/s000_O1_vs_O3/fmcad/ranking.json,,,,True,,,
B/s1112_O1_vs_O3,B,s1112_O1_vs_O3,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1112_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1112_O3_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/B/s1112_O1_vs_O3/naive_report.txt,,,,True,,,
B/s1112_O1_vs_O3,B,s1112_O1_vs_O3,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,4,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1112_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1112_O3_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
B/s1112_O1_vs_O3,B,s1112_O1_vs_O3,fmcad_align,dry_run,,50.0,100.0,0.75,2,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/B/s1112_O1_vs_O3/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/B/s1112_O1_vs_O3/fmcad/ranking.json,,,,True,,,
